week_end,block,voting_escrow
2022-06-05,14905988,2.07
2022-06-12,14947132,2.06
2022-06-19,14987809,2.05
2022-06-26,15026233,2.04
2022-07-03,15066169,2.03
2022-07-10,15111487,2.02
2022-07-17,15156813,2.01
2022-07-24,15202012,2.10
2022-07-31,15246903,2.09
2022-08-07,15291833,2.08
2022-08-14,15336463,2.07
2022-08-21,15380672,2.06
2022-08-28,15424591,2.05
2022-09-04,15468373,2.04
2022-09-11,15511691,2.03
2022-09-18,15556726,2.02
2022-09-25,15606660,2.09
2022-10-02,15656732,2.08
2022-10-09,15706816,2.07
2022-10-16,15756957,2.06
2022-10-23,15807086,2.05
2022-10-30,15857151,2.03
2022-11-06,15907253,2.02
2022-11-13,15957380,2.01
2022-11-20,16007503,2.00
2022-11-27,16057597,1.99
2022-12-04,16107727,1.98
2022-12-11,16157748,2.01
2022-12-18,16207857,2.00
2022-12-25,16258038,1.99
2023-01-01,16308190,1.97
2023-01-08,16358347,1.96
2023-01-15,16408488,1.95
2023-01-22,16458621,1.94
2023-01-29,16508758,1.93
2023-02-05,16558857,1.92
2023-02-12,16608958,1.91
2023-02-19,16658939,1.89
2023-02-26,16708711,1.88
2023-03-05,16758496,1.87
2023-03-12,16808258,1.86
2023-03-19,16858067,1.85
2023-03-26,16907900,1.84
2023-04-02,16957717,1.82
2023-04-09,17007072,1.81
2023-04-16,17055792,1.80
2023-04-23,17105310,1.79
2023-04-30,17155164,1.78
2023-05-07,17204968,1.77
2023-05-14,17254453,1.76
2023-05-21,17304051,1.74
2023-05-28,17353818,1.73
2023-06-04,17403556,1.72
2023-06-11,17453186,1.71
2023-06-18,17502962,1.70
2023-06-25,17552799,1.69
2023-07-02,17602620,1.68
2023-07-09,17652460,1.66
2023-07-16,17702170,1.65
2023-07-23,17752102,1.64
2023-07-30,17802131,1.63
2023-08-06,17852208,1.62
2023-08-13,17902217,1.61
2023-08-20,17952252,1.59
2023-08-27,18002285,1.58
2023-09-03,18052254,1.57
2023-09-10,18102263,1.56
2023-09-17,18152100,1.80
2023-09-24,18201951,1.79
2023-10-01,18251965,1.78
2023-10-08,18302049,1.77
2023-10-15,18352059,1.76
2023-10-22,18402122,1.74
2023-10-29,18452128,1.73
2023-11-05,18502099,1.72
2023-11-12,18552123,1.71
2023-11-19,18602145,1.70
2023-11-26,18652140,1.69
2023-12-03,18702159,1.68
2023-12-10,18752098,1.66
2023-12-17,18802046,1.65
2023-12-24,18851936,1.64
2023-12-31,18901758,1.63
2024-01-07,18951539,1.62
2024-01-14,19001407,1.61
2024-01-21,19051515,1.59
2024-01-28,19101334,1.58
2024-02-04,19151256,1.57
2024-02-11,19201123,1.56
2024-02-18,19250998,1.55
2024-02-25,19300884,1.54
2024-03-03,19350920,1.53
2024-03-10,19400982,1.51
2024-03-17,19450870,1.50
2024-03-24,19500711,1.49
2024-03-31,19550183,1.48
2024-04-07,19600114,1.47
2024-04-14,19650067,1.46
2024-04-21,19700063,1.44
2024-04-28,19750103,1.43
2024-05-05,19800180,1.42
2024-05-12,19850230,1.41
2024-05-19,19900268,1.40
2024-05-26,19950330,1.39
2024-06-02,20000416,1.38
2024-06-09,20050553,1.36
2024-06-16,20100627,1.35
2024-06-23,20150677,1.34
2024-06-30,20200783,1.33
2024-07-07,20250914,1.32
2024-07-14,20301021,1.31
2024-07-21,20351186,1.30
2024-07-28,20401322,1.28
2024-08-04,20451460,1.27
2024-08-11,20501655,1.26
2024-08-18,20551784,1.25
2024-08-25,20601892,1.24
2024-09-01,20651994,1.23
2024-09-08,20702171,1.21
2024-09-15,20752288,1.20
2024-09-22,20802390,1.19
2024-09-29,20852573,1.18
2024-10-06,20902785,1.17
2024-10-13,20952958,1.16
2024-10-20,21003064,1.15
