week_end,total_citizens,new_citizens,total_expired_passports,total_revoked_passports
2022-06-05,205,205,54,0
2022-06-12,205,0,52,0
2022-06-19,205,0,49,0
2022-06-26,205,0,47,0
2022-07-03,205,0,44,0
2022-07-10,205,0,44,0
2022-07-17,205,0,44,0
2022-07-24,205,0,42,0
2022-07-31,205,0,40,0
2022-08-07,205,0,39,0
2022-08-14,205,0,38,0
2022-08-21,205,0,37,0
2022-08-28,205,0,37,0
2022-09-04,205,0,36,0
2022-09-11,205,0,35,0
2022-09-18,205,0,34,0
2022-09-25,205,0,34,0
2022-10-02,205,0,34,0
2022-10-09,205,0,31,0
2022-10-16,205,0,30,0
2022-10-23,205,0,28,0
2022-10-30,205,0,28,0
2022-11-06,205,0,25,0
2022-11-13,221,16,8,0
2022-11-20,231,10,8,0
2022-11-27,233,2,8,0
2022-12-04,235,2,8,0
2022-12-11,240,5,8,0
2022-12-18,241,1,8,0
2022-12-25,241,0,8,0
2023-01-01,241,0,8,0
2023-01-08,244,3,8,0
2023-01-15,248,4,8,0
2023-01-22,250,2,8,0
2023-01-29,254,4,8,0
2023-02-05,257,3,8,0
2023-02-12,258,1,8,0
2023-02-19,258,0,8,0
2023-02-26,259,1,8,0
2023-03-05,260,1,8,0
2023-03-12,260,0,8,0
2023-03-19,261,1,8,0
2023-03-26,262,1,8,0
2023-04-02,264,2,9,0
2023-04-09,264,0,10,0
2023-04-16,264,0,10,0
2023-04-23,264,0,11,0
2023-04-30,265,1,11,0
2023-05-07,265,0,12,0
2023-05-14,265,0,12,0
2023-05-21,265,0,13,0
2023-05-28,265,0,13,0
2023-06-04,265,0,13,0
2023-06-11,265,0,16,0
2023-06-18,265,0,30,0
2023-06-25,265,0,33,0
2023-07-02,266,1,34,0
2023-07-09,269,3,34,0
2023-07-16,272,3,36,0
2023-07-23,273,1,40,0
2023-07-30,274,1,50,0
2023-08-06,275,1,54,0
2023-08-13,297,22,80,0
2023-08-20,297,0,81,0
2023-08-27,297,0,81,0
2023-09-03,297,0,83,0
2023-09-10,297,0,86,0
2023-09-17,297,0,91,0
2023-09-24,297,0,91,0
2023-10-01,297,0,92,0
2023-10-08,297,0,91,1
2023-10-15,297,0,92,1
2023-10-22,297,0,93,1
2023-10-29,297,0,95,1
2023-11-05,297,0,97,1
2023-11-12,297,0,99,1
2023-11-19,297,0,107,1
2023-11-26,297,0,128,1
2023-12-03,297,0,137,1
2023-12-10,297,0,142,2
2023-12-17,297,0,146,2
2023-12-24,297,0,150,3
2023-12-31,297,0,152,3
2024-01-07,297,0,159,4
2024-01-14,297,0,161,5
2024-01-21,297,0,163,5
2024-01-28,297,0,171,5
2024-02-04,297,0,174,5
2024-02-11,297,0,176,5
2024-02-18,297,0,182,7
2024-02-25,297,0,183,7
2024-03-03,297,0,185,7
2024-03-10,297,0,190,7
2024-03-17,297,0,195,7
2024-03-24,297,0,199,7
2024-03-31,297,0,201,7
2024-04-07,297,0,201,7
2024-04-14,297,0,202,7
2024-04-21,297,0,204,7
2024-04-28,297,0,207,8
2024-05-05,297,0,212,8
2024-05-12,297,0,215,8
2024-05-19,297,0,219,8
2024-05-26,297,0,220,8
2024-06-02,297,0,224,8
2024-06-09,297,0,225,8
2024-06-16,297,0,227,8
2024-06-23,297,0,229,8
2024-06-30,297,0,230,8
2024-07-07,297,0,232,8
2024-07-14,297,0,232,8
2024-07-21,297,0,235,8
2024-07-28,297,0,237,8
2024-08-04,297,0,240,8
2024-08-11,297,0,240,8
2024-08-18,297,0,239,8
2024-08-25,297,0,240,9
2024-09-01,297,0,241,9
2024-09-08,297,0,243,9
2024-09-15,297,0,246,9
2024-09-22,297,0,248,9
2024-09-29,297,0,248,9
2024-10-06,297,0,248,9
2024-10-13,297,0,248,9
2024-10-20,297,0,250,9
2024-10-27,297,0,250,9
2024-11-03,297,0,251,9
2024-11-10,297,0,251,9
2024-11-17,297,0,253,9
2024-11-24,297,0,255,9
2024-12-01,297,0,258,9
2024-12-08,297,0,258,9
2024-12-15,297,0,258,9
2024-12-22,297,0,258,9
2024-12-29,297,0,259,9
2025-01-05,297,0,259,9
2025-01-12,297,0,259,9
2025-01-19,297,0,260,9
2025-01-26,297,0,260,9
2025-02-02,297,0,260,9
