week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,96,300,
2022-12-04,96,0,
2022-12-11,120,0,
2022-12-18,120,300,
2022-12-25,126,300,
2022-12-28,132,300,
2023-01-01,132,0,
2023-01-09,138,300,
2023-01-10,138,300,
2023-01-15,138,300,
2023-01-16,144,300,
2023-01-22,144,300,
2023-01-29,141,0,
2023-02-05,141,300,
2023-02-12,150,0,
2023-02-19,144,0,
2023-02-26,144,0,
2023-03-24,153,225,
2023-03-26,150,180,
2023-04-02,162,300,
2023-04-09,168,201,
2023-04-16,168,0,
2023-04-30,168,0,
2023-05-07,171,201,
2023-05-28,171,0,
