week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,1.5917789363167099,1.5917789363167099,0,0
2022-06-05,3.122620195268121,3.122620195268121,0,0
2022-06-12,0.31544901824151134,0.31544901824151134,0,0
2022-06-19,0.031866862637354575,0.031866862637354575,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0.022875079121339285,0.022875079121339285,0,0
2022-08-21,0.22643964656426663,0.22643964656426663,0,0
2022-08-28,0.022943892788696834,0.022943892788696834,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0.0674610832441325,0.0674610832441325,0,0
2022-09-25,0.16446353210839046,0.16446353210839046,0,0
2022-10-02,0.01661420731775797,0.01661420731775797,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
