week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.028170865468128515,0.028170865468128515,0,0
2022-06-05,0.26187385193494545,0.26187385193494545,0,0
2022-06-12,0.026602398626327396,0.026602398626327396,0,0
2022-06-19,0.020834636057768988,0,0.020834636057768988,0
2022-06-26,0.22113752894392757,0.014896348740522803,0.20624118020340476,0
2022-07-03,2.1863868826023927,0.14481347189077562,2.0415734107116172,0
2022-07-10,0.31842868429822113,0.11218750409481637,0.20624118020340476,0
2022-07-17,0.05407329987008494,0.03323866381231595,0.020834636057768988,0
2022-07-24,0.22019880629458408,0.22019880629458408,0,0
2022-07-31,0.022246063743100345,0.022246063743100345,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0.014010238995454938,0.014010238995454938,0,0
2022-09-04,0.13866420445223618,0.13866420445223618,0,0
2022-09-11,0.014007946333892466,0.014007946333892466,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0.03476676548659471,0.03476676548659471,0,0
2022-11-13,0.3441551428926537,0.3441551428926537,0,0
