week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.018041603221432872,0.018041603221432872,0,0
2022-06-05,0.15775645928589974,0.15775645928589974,0,0
2022-06-12,0.01593665799426148,0.01593665799426148,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0.01767990347493835,0.01767990347493835,0,0
2022-10-23,0.17501283055741118,0.17501283055741118,0,0
2022-10-30,0.1833005314365075,0.1833005314365075,0,0
2022-11-06,0.11959271664555249,0.11959271664555249,0,0
2022-11-13,1.0126253813149202,1.0126253813149202,0,0
2022-11-20,0.4083306242008835,0.3391789708683765,0.069151653332507,0
