week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0,0,0,0
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0.07091405413205137,0.07091405413205137,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0.011365692320432885,0.011365692320432885,0,0
2022-10-16,0.11250865914267803,0.11250865914267803,0,0
2022-10-23,0.012055903894542738,0.012055903894542738,0,0
2022-10-30,0,0,0,0
2022-11-06,0.06844677890448381,0.06844677890448381,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
