week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.4902402249691557,0.4902402249691557,0,0
2022-06-05,0.04958227990115398,0.04958227990115398,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0.056790216835072974,0.056790216835072974,0,0
2022-07-03,0.5616643417818378,0.5616643417818378,0,0
2022-07-10,0.07623620879276552,0.05673968212495646,0.019496526667809058,0
2022-07-17,0.19299532223332144,0,0.19299532223332144,0
2022-07-24,1.9104535127409346,0,1.9104535127409346,0
2022-07-31,0.19299532223332144,0,0.19299532223332144,0
2022-08-07,0.019496526667809058,0,0.019496526667809058,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0.01978726953035052,0.01978726953035052,0,0
2022-09-25,0.19587354907371357,0.19587354907371357,0,0
2022-10-02,0.025459939348940433,0.025459939348940433,0,0
2022-10-09,0.0587255620734131,0.0587255620734131,0,0
2022-10-16,0.5617950915197156,0.5617950915197156,0,0
2022-10-23,0.08296675732433895,0.08296675732433895,0,0
2022-10-30,0.2678716612901227,0.2678716612901227,0,0
2022-11-06,0.15696592838477,0.15696592838477,0,0
2022-11-13,0.61960358712141,0.61960358712141,0,0
