week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-06-05,143.37,123.91,0,19.46
2022-06-12,57.47,28.92,0,28.55
2022-06-19,52.89,29,0,23.89
2022-06-26,121.63,91.55,0,30.09
2022-07-03,107.44,74.53,0,32.91
2022-07-10,77.58,44.35,0,33.23
2022-07-17,84.97,30.22,0,54.75
2022-07-24,82.54,19.75,0,62.79
2022-07-31,51.44,13.42,0,38.02
2022-08-07,113.66,15.14,0,98.52
2022-08-14,77.59,17.1,0,60.49
2022-08-21,107.29,24.58,0,82.71
2022-08-28,93.65,32.35,0,61.3
2022-09-04,88.33,35.02,0,53.31
2022-09-11,136.99,76.16,0,60.83
2022-09-18,87.67,21.46,0,66.21
2022-09-25,107.2,28.75,0,78.45
2022-10-02,118.75,68.78,0,49.97
2022-10-09,58.66,32.91,0,25.75
2022-10-16,53.48,16.98,0,36.5
2022-10-23,99.69,55.3,0,44.4
2022-10-30,80.8,40.07,0,40.72
2022-11-06,86.24,58.62,0,27.62
2022-11-13,91.89,45.09,0,46.8
2022-11-20,81.78,23.41,0,58.37
2022-11-27,72.41,17.72,0,54.69
2022-12-04,97.08,23.63,0,73.46
2022-12-11,94.15,45.24,0,48.91
2022-12-18,96.45,42.12,0,54.34
2022-12-25,131.97,62.05,0,69.92
2023-01-01,98.44,46.82,0,51.63
2023-01-08,104.45,57.36,0,47.09
2023-01-15,100.11,62.83,0,37.28
2023-01-22,43.32,34.42,0,8.9
2023-01-29,79.66,69.9,0,9.76
2023-02-05,12.1,8.82,0,3.28
2023-02-12,3.13,1.02,0,2.11
2023-02-19,2.15,1.34,0,0.81
2023-02-26,8.15,3.65,0,4.5
2023-03-05,3.37,2.87,0,0.5
2023-03-12,5.3,4.79,0,0.51
2023-03-19,6.87,2.29,0,4.58
2023-03-26,51.58,13.77,0,37.8
2023-04-02,61.7,15.13,0,46.57
2023-04-09,22.26,9.97,0,12.29
2023-04-16,6.92,3.36,0,3.57
2023-04-23,1.47,1.05,0,0.42
2023-04-30,7.18,7.12,0,0.06
2023-05-07,5.62,5.54,0,0.08
2023-05-14,0.59,0.59,0,0
2023-05-21,0.39,0.39,0,0
2023-05-28,3.33,3.33,0,0
2023-06-04,0.34,0.34,0,0
2023-06-11,0.11,0.11,0,0
2023-06-18,0.77,0.77,0,0
2023-06-25,7.58,7.56,0,0.02
2023-07-02,32.2,31.96,0,0.24
2023-07-09,17.93,15.56,0,2.36
2023-07-16,41.68,39.52,0,2.16
2023-07-23,110.78,101.76,0,9.02
2023-07-30,67.62,54.65,0,12.97
2023-08-06,51.19,46.16,0,5.03
2023-08-13,70.42,56.25,0,14.17
2023-08-20,22.17,20.16,0,2.01
2023-08-27,36.84,30.89,0,5.95
2023-09-03,67.91,46.11,0,21.8
2023-09-10,76.52,62.79,0,13.73
2023-09-17,141.35,123.2,0,18.15
2023-09-24,161.32,144.6,0,16.71
2023-10-01,138.88,116.69,0,22.2
2023-10-08,160.14,125.77,0,34.37
2023-10-15,98.78,72.53,0,26.25
2023-10-22,45.54,33.62,0,11.91
2023-10-29,33.1,27.9,0,5.2
2023-11-05,8.8,5.78,0,3.01
2023-11-12,10.94,3.36,0,7.58
2023-11-19,9.12,3.49,0,5.63
2023-11-26,32.39,20.34,0,12.05
2023-12-03,63.98,53.05,0,10.92
2023-12-10,120.7,89.06,0,31.65
2023-12-17,76.37,34.77,0,41.6
2023-12-24,70.96,41.85,0,29.11
2023-12-31,29.57,9.87,0,19.69
2024-01-07,88.45,38.21,0,50.24
2024-01-14,43.24,17.81,0,25.43
2024-01-21,64.51,38.58,0,25.93
2024-01-28,51.85,23.74,0,28.11
2024-02-04,39.98,16.81,0,23.17
2024-02-11,55.76,27.1,0,28.65
2024-02-18,65.82,5.5,0,60.32
2024-02-25,22,2.15,0,19.85
2024-03-03,80.57,16.02,0,64.54
2024-03-10,18.37,1.93,0,16.44
2024-03-17,5.58,0.3,0,5.28
2024-03-24,4.53,1.04,0,3.49
2024-03-31,21.74,10.09,0,11.65
2024-04-07,20.2,14.19,0,6.01
2024-04-14,23.65,1.6,0,22.05
2024-04-21,43.8,1.77,0,42.03
2024-04-28,39.22,13.14,0,26.08
2024-05-05,37.2,2.75,0,34.45
2024-05-12,39.55,12.35,0,27.2
2024-05-19,47.23,18.95,0,28.28
2024-05-26,15.21,1.95,0,13.26
2024-06-02,13.63,0.6,0,13.03
2024-06-09,46.78,2.52,0,44.26
2024-06-16,21.28,5.92,0,15.36
2024-06-23,6.35,0.6,0,5.75
2024-06-30,0.81,0.06,0,0.75
2024-07-07,1.74,0,0,1.74
2024-07-14,0.5,0,0,0.5
2024-07-21,3.27,0,0,3.27
2024-07-28,1.85,0.03,0,1.82
2024-08-04,15.18,0.28,0,14.91
2024-08-11,27.5,0.06,0,27.44
2024-08-18,27.64,0.32,0,27.32
2024-08-25,43.89,0.31,0,43.59
2024-09-01,27.69,0.03,0,27.66
2024-09-08,17.1,0,0,17.1
2024-09-15,2.54,0.01,0,2.53
2024-09-22,8.32,0.11,0,8.2
2024-09-29,7.62,1.14,0,6.48
2024-10-06,8.95,8.29,0,0.65
2024-10-13,0.9,0.84,0,0.07
2024-10-20,0.08,0.08,0,0
2024-10-27,0,0,0,0
