week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
2022-12-25,0,0,0,0
2023-01-01,0,0,0,0
2023-01-08,0,0,0,0
2023-01-15,0,0,0,0
2023-01-22,0,0,0,0
2023-01-29,0,0,0,0
2023-02-05,0,0,0,0
2023-02-12,0,0,0,0
2023-02-19,0,0,0,0
2023-02-26,0,0,0,0
2023-03-05,0,0,0,0
2023-03-12,0,0,0,0
2023-03-19,0,0,0,0
2023-03-26,0,0,0,0
2023-04-02,0,0,0,0
2023-04-09,0,0,0,0
2023-04-16,0,0,0,0
2023-04-23,0,0,0,0
2023-04-30,0,0,0,0
2023-05-07,0,0,0,0
2023-05-14,0,0,0,0
2023-05-21,0,0,0,0
2023-05-28,0,0,0,0
2023-06-04,0,0,0,0
2023-06-11,0,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,0,0,0
2023-07-09,0,0,0,0
2023-07-16,0,0,0,0
2023-07-23,0.03,0.03,0,0
2023-07-30,0.35,0.35,0,0
2023-08-06,3.42,3.42,0,0
2023-08-13,1.63,1.63,0,0
2023-08-20,1.55,1.55,0,0
2023-08-27,0.93,0.93,0,0
2023-09-03,3.07,3.07,0,0
2023-09-10,15.82,15.82,0,0
2023-09-17,91.16,91.16,0,0
2023-09-24,94.92,94.92,0,0
2023-10-01,86.47,86.47,0,0
2023-10-08,54.13,54.13,0,0
2023-10-15,31.35,31.35,0,0
2023-10-22,14.73,14.73,0,0
2023-10-29,15.37,15.37,0,0
2023-11-05,11.29,11.29,0,0
2023-11-12,9.35,9.35,0,0
2023-11-19,2.48,2.48,0,0
2023-11-26,8.45,8.45,0,0
2023-12-03,9.51,9.51,0,0
2023-12-10,18.34,18.34,0,0
2023-12-17,8.95,8.95,0,0
2023-12-24,5.98,5.98,0,0
2023-12-31,8.48,8.48,0,0
2024-01-07,15.34,15.34,0,0
2024-01-14,8.33,8.33,0,0
2024-01-21,1.61,1.61,0,0
2024-01-28,6.55,6.55,0,0
2024-02-04,0.8,0.8,0,0
2024-02-11,1.43,1.43,0,0
2024-02-18,0.14,0.14,0,0
2024-02-25,0.01,0.01,0,0
2024-03-03,0,0,0,0
2024-03-10,0,0,0,0
2024-03-17,0,0,0,0
2024-03-24,0,0,0,0
2024-03-31,0,0,0,0
2024-04-07,0,0,0,0
2024-04-14,0,0,0,0
2024-04-21,0,0,0,0
2024-04-28,0,0,0,0
2024-05-05,0,0,0,0
2024-05-12,0,0,0,0
2024-05-19,0,0,0,0
2024-05-26,0,0,0,0
2024-06-02,0,0,0,0
2024-06-09,0,0,0,0
2024-06-16,0,0,0,0
