week_end,active_citizens
2022-05-29,[]
2022-06-05,[]
2022-06-12,[]
2022-06-19,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-06-26,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-07-03,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-07-10,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-07-17,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-07-24,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-07-31,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-08-07,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-08-14,[]
2022-08-21,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-08-28,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-09-04,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-09-11,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
2022-09-18,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-09-25,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-10-02,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-10-09,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-10-16,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-10-23,"[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A,0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]"
2022-10-30,[0xEdd000B7Db3cb8931d4E0cb1D0DBe6B947Ceb09A]
