week_end,total_citizens_count,voting_citizens_count,active_citizens_count,active_citizens
2022-06-05,,,0,
2022-06-12,,,0,
2022-06-19,,,0,
2022-06-26,,,3,"172,176,233"
2022-07-03,,,3,"172,176,233"
2022-07-10,,,4,"43,172,176,233"
2022-07-17,,,4,"43,172,176,233"
2022-07-24,,,4,"43,172,176,233"
2022-07-31,,,4,"43,172,176,233"
2022-08-07,,,4,"43,172,176,233"
2022-08-14,,,3,"43,172,233"
2022-08-21,,,3,"43,172,233"
2022-08-28,,,3,"43,172,233"
2022-09-04,,,4,"43,171,172,233"
2022-09-11,,,5,"43,171,172,176,233"
2022-09-18,,,5,"43,171,172,176,233"
2022-09-25,,,5,"43,171,172,176,233"
2022-10-02,,,5,"43,171,172,176,233"
2022-10-09,,,5,"43,171,172,176,233"
2022-10-16,,,6,"43,171,172,176,202,233"
2022-10-23,,,6,"43,171,172,176,202,233"
2022-10-30,,,6,"43,171,172,176,202,233"
2022-11-06,,,6,"43,171,172,176,202,233"
2022-11-13,,,6,"43,171,172,176,202,233"
2022-11-20,,,6,"43,171,172,176,202,233"
2022-11-27,,,6,"43,171,172,176,202,233"
2022-12-04,,,6,"43,171,172,176,202,233"
2022-12-11,,,6,"43,171,172,176,202,233"
2022-12-18,,,6,"43,171,172,176,202,233"
2022-12-25,,,6,"43,171,172,176,202,233"
2023-01-01,,,5,"43,171,172,202,233"
2023-01-08,,,4,"43,172,202,233"
2023-01-15,,,4,"43,172,202,233"
2023-01-22,,,5,"43,172,176,202,233"
2023-01-29,,,5,"43,172,176,202,233"
2023-02-05,,,5,"43,172,176,202,233"
2023-02-12,,,4,"43,172,202,233"
2023-02-19,,,4,"43,172,202,233"
2023-02-26,,,3,"43,172,202"
2023-03-05,,,3,"43,172,202"
2023-03-12,,,2,"43,202"
2023-03-19,,,3,"43,202,233"
2023-03-26,,,3,"43,202,233"
2023-04-02,,,4,"43,172,202,233"
2023-04-09,,,4,"43,172,202,233"
2023-04-16,,,3,"171,172,233"
2023-04-23,,,3,"171,172,233"
2023-04-30,,,0,
2023-05-07,,,0,
2023-05-14,,,0,
2023-05-21,,,0,
2023-05-28,,,0,
2023-06-04,,,0,
2023-06-11,,,0,
2023-06-18,,,0,
2023-06-25,,,0,
2023-07-02,,,0,
2023-07-09,,,0,
2023-07-16,,,2,"171,233"
2023-07-23,,,4,"43,171,202,233"
2023-07-30,,,4,"43,171,202,233"
2023-08-06,,,4,"171,172,202,233"
2023-08-13,,,3,"172,202,233"
2023-08-20,,,4,"172,202,233,272"
2023-08-27,,,3,"172,233,272"
2023-09-03,,,3,"172,233,272"
2023-09-10,,,3,"172,233,272"
2023-09-17,,,4,"172,202,233,272"
2023-09-24,,,4,"172,202,233,272"
2023-10-01,,,4,"172,233,272,280"
2023-10-08,,,6,"71,172,233,272,280,283"
2023-10-15,,,5,"71,233,272,280,283"
2023-10-22,,,5,"71,233,272,280,283"
2023-10-29,,,4,"71,233,272,280"
2023-11-05,,,4,"71,233,272,280"
2023-11-12,,,4,"71,233,272,280"
2023-11-19,,,3,"233,272,280"
2023-11-26,,,2,"233,272"
2023-12-03,,,2,"233,272"
2023-12-10,,,2,"233,272"
2023-12-17,,,3,"233,272,280"
2023-12-24,,,3,"233,272,280"
2023-12-31,,,3,"233,272,280"
2024-01-07,,,3,"233,272,280"
2024-01-14,,,4,"172,233,272,280"
2024-01-21,,,4,"172,233,272,280"
2024-01-28,,,3,"172,233,272"
2024-02-04,,,3,"172,233,272"
2024-02-11,,,3,"172,233,288"
2024-02-18,,,3,"172,233,288"
2024-02-25,,,3,"172,233,288"
2024-03-03,,,2,"233,288"
2024-03-10,,,2,"233,288"
2024-03-17,,,2,"233,288"
2024-03-24,,,2,"233,288"
2024-03-31,,,1,233
2024-04-07,,,1,233
2024-04-14,,,1,233
2024-04-21,,,1,233
2024-04-28,,,2,"233,288"
2024-05-05,,,2,"233,288"
2024-05-12,,,2,"233,288"
2024-05-19,,,2,"233,288"
2024-05-26,,,2,"233,288"
2024-06-02,,,1,233
2024-06-09,,,1,233
2024-06-16,,,1,233
2024-06-23,,,1,233
2024-06-30,,,1,233
2024-07-07,,,1,233
2024-07-14,,,0,
2024-07-21,,,0,
2024-07-28,,,0,
2024-08-04,,,0,
2024-08-11,,,0,
2024-08-18,,,0,
2024-08-25,,,1,233
2024-09-01,,,1,233
2024-09-08,,,1,233
2024-09-15,,,1,233
2024-09-22,,,0,
2024-09-29,,,0,
2024-10-06,,,0,
