passport_id,nationcred_score,nationcred_score_accumulated
0,0,0.00
1,0,0.17
2,0,0.34
3,0,0.17
4,0,0.17
5,0,0.00
6,0,0.04
7,0,2.21
8,0,0.17
9,0,3.40
10,0,1.02
11,0,0.34
12,0,1.53
13,0,0.17
14,0,0.00
15,0,20.84
16,0,0.00
17,0,0.00
18,0,1.70
19,0,0.00
20,0,0.00
21,0,0.34
22,0,0.00
23,0,0.17
24,0,6.16
25,0,0.17
26,0,0.94
27,0,0.17
28,0,0.00
29,0,0.00
30,0,0.00
31,0,3.39
32,0,0.00
33,0,0.34
34,0,0.34
35,0,0.00
36,0,334.45
37,0,0.00
38,0,0.00
39,0,0.00
40,0,0.17
41,0,0.00
42,0,1.02
43,0,621.45
44,0,0.00
45,0,0.85
46,0,0.00
47,0,0.00
48,0,1.70
49,0,4.08
50,0,0.00
51,0,0.00
52,0,0.17
53,0,1.70
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.34
60,0,0.17
61,0,0.00
62,0,0.51
63,0,0.00
64,0,0.00
65,0,0.00
66,0,0.00
67,0,0.00
68,0,0.00
69,0,0.00
70,0,0.00
71,0,71.92
72,0,0.00
73,0,0.85
74,0,0.34
75,0,2.04
76,0,0.00
77,0,0.00
78,0,0.00
79,0,0.00
80,0,0.00
81,0,0.00
82,0,0.51
83,0,0.17
84,0,0.00
85,0,0.00
86,0,0.00
87,0,0.85
88,0,0.52
89,0,0.00
90,0,0.00
91,0,0.00
92,0,0.00
93,0,0.00
94,0,0.00
95,0,0.00
96,0,0.00
97,0,0.17
98,0,0.00
99,0,0.00
100,0,1.36
101,0,3.87
102,0,0.00
103,0,0.00
104,0,0.00
105,0,0.00
106,0,0.00
107,0,0.00
108,0,0.00
109,0,0.00
110,0,30.77
111,0,0.00
112,0,0.00
113,0,0.00
114,0,0.00
115,0,0.00
116,0,0.00
117,0,0.00
118,0,3.56
119,0,2.21
120,0,0.00
121,0,0.00
122,0,0.00
123,0,0.17
124,0,0.34
125,0,0.00
126,0,0.00
127,0,2.04
128,0,0.85
129,0,0.00
130,0,0.00
131,0,0.00
132,0,0.00
133,0,1.02
134,0,0.00
135,0,0.00
136,0,0.00
137,0,0.00
138,0,0.00
139,0,0.00
140,0,0.00
141,0,0.00
142,0,0.17
143,0,0.00
144,0,0.00
145,0,0.00
146,0,0.00
147,0,0.00
148,0,0.00
149,0,0.00
150,0,0.00
151,0,0.68
152,0,0.17
153,0,1.19
154,0,0.00
155,0,0.00
156,0,0.00
157,0,0.00
158,0,4.97
159,0,5.10
160,0,8.21
161,0,0.00
162,0,1.02
163,0,6.11
164,0,1.02
165,0,0.76
166,0,0.17
167,0,0.00
168,0,2.55
169,0,2.55
170,0,0.51
171,0,308.31
172,0.81,524.37
173,0,0.00
174,0,0.00
175,0,0.00
176,0,312.92
177,0,0.00
178,0,0.51
179,0,0.00
180,0,0.51
181,0,0.17
182,0,0.00
183,0,0.00
184,0,0.68
185,0,0.00
186,0,0.00
187,0,0.00
188,0,0.00
189,0,0.00
190,0,0.00
191,0,0.00
192,0,1.36
193,0,1.70
194,0,2.72
195,0,1.02
196,0,0.17
197,0,0.34
198,0,0.29
199,0,3.50
200,0,0.51
201,0,0.00
202,0,276.43
203,0,0.00
204,0,0.68
205,0,0.00
206,0,0.00
207,0,0.00
208,0,3.23
209,0,2.21
210,0,2.21
211,0,2.07
212,0,0.17
213,0,3.06
214,0,0.68
215,0,0.68
216,0,1.36
217,0,0.68
218,0,1.02
219,0,0.68
220,0,0.00
221,0,1.71
222,0,0.85
223,0,4.42
224,0,3.58
225,0,0.00
226,0,0.17
227,0,0.00
228,0,1.19
229,0,0.00
230,0,0.00
231,0,0.00
232,0,2.38
233,14.9,2162.87
234,0,0.85
235,0,0.00
236,0,0.00
237,0,0.17
238,0,0.00
239,0,1.70
240,0,0.00
241,0,0.17
242,0,0.17
243,0,2.21
244,0,0.00
245,0,29.78
246,0,0.00
247,0,0.00
248,0,0.00
249,0,0.17
250,0,0.17
251,0,0.34
252,0,0.85
253,0,0.17
254,0,0.34
255,0,0.00
256,0,0.17
257,0,0.00
258,0,0.17
259,0,0.00
260,0,0.00
261,0,0.00
262,0,0.00
263,0,0.00
264,0,0.17
265,0,0.17
266,0,0.00
267,0,0.00
268,0,0.00
269,0,0.00
270,0,0.00
271,0,0.00
272,0,373.94
273,0,0.17
274,0,0.00
275,0,0.00
276,0,0.00
277,0,0.17
278,0,0.17
279,0,0.00
280,0,185.83
281,0,0.17
282,0,1.01
283,0,58.80
284,0,0.00
285,0,28.81
286,0,0.00
287,0,0.85
288,1.24,97.53
289,0,0.00
290,0,0.00
291,0,0.00
292,0,0.00
